Date/Time,Weight (gr)
02/02/2017 10:43,1078.2
02/02/2017 10:44,1058
02/02/2017 10:45,1037.9
02/02/2017 10:46,1018.4
02/02/2017 10:47,998.9
02/02/2017 10:48,978.3
02/02/2017 10:49,959.2
02/02/2017 10:49,939.4
02/02/2017 10:50,920
02/02/2017 10:51,901.1
02/02/2017 10:52,881.1
02/02/2017 10:53,863
02/02/2017 10:54,843.8
02/02/2017 10:55,821.3
02/02/2017 10:56,802.2
02/02/2017 10:57,782.5
02/02/2017 10:58,764.1
02/02/2017 10:59,761.8
02/02/2017 11:00,724.8
02/02/2017 11:01,705.8
02/02/2017 11:02,687.3
02/02/2017 11:03,669.3
02/02/2017 11:04,649.9
02/02/2017 11:05,631.1
02/02/2017 11:06,612.9
02/02/2017 11:07,595.1
02/02/2017 11:08,577.4
02/02/2017 11:08,559.9
02/02/2017 11:09,542
02/02/2017 11:10,524.4
02/02/2017 11:11,506
02/02/2017 11:12,488.9
02/02/2017 11:13,471.5
02/02/2017 11:14,453.9
02/02/2017 11:15,436.8
02/02/2017 11:16,419.8
02/02/2017 11:17,401.2
02/02/2017 11:18,384.2
02/02/2017 11:19,367
02/02/2017 11:20,349.6
02/02/2017 11:21,332.5
02/02/2017 11:22,313.5
02/02/2017 11:22,296.3
02/02/2017 11:23,279.6
02/02/2017 11:24,263
